,Local Gov Name,Local Gov Logo,Atlas Admin Link
1565,"City of St. Paul, MN",https://drive.google.com/file/d/1Z6Y9MtvDgsl_rlggJ5tLB6hkPVXpXonR/view?usp=sharing,
781,"City of Hurst, TX",https://drive.google.com/file/d/1-fklMPf9vUcVLk49XGjkmqU0hW_MVjQ9/view?usp=sharing,
1435,"City of Duluth, MN",https://drive.google.com/file/d/1jH9kGkGOc8cS-DTK4ZcBuYVU4a5WeYjD/view?usp=sharing,
1314,"City of Fort Saskatchewan, CAN",https://drive.google.com/file/d/1Kv3Rg1s6Ivj0RUhWum0r6cwgwphAwucY/view?usp=sharing,
1570,"City of Hemet, CA",https://drive.google.com/file/d/1r5V64BLsja9bcTaGWo0ZjA9RPhMvsM_e/view?usp=sharing,
1466,"Town of Gilbert, AZ",https://drive.google.com/file/d/1iNFP8h8iAlJF2yMbnLU0kEG5piG5Kegf/view?usp=sharing,
1408,"City of Billings Police Department, MT",https://drive.google.com/file/d/1P4r2R4sRcEWk7wyX-wNTF2rn2Ob8msVr/view?usp=sharing,
1352,"City of Middleton, WI",https://drive.google.com/file/d/1eIjv3lelVPB8E9gKTO2Bw5p1RNYwuUrO/view?usp=sharing,
1316,"Town of Ashland, MA",https://drive.google.com/file/d/1VpaQxihczjaq-INqZTKiqjFu5RwB_Bpa/view?usp=sharing,
1238,"City of Bloomington, MN",https://drive.google.com/file/d/1BLu1-cUN1hXvYW7ReYEi-9BBmyH835Ym/view?usp=sharing,
1545,"City of Shoreview, MN",https://drive.google.com/file/d/1bh_k5I1UL8J48mv8fZrPPnHXgrpFke00/view?usp=sharing,
1578,"Montgomery County, PA",https://drive.google.com/file/d/1oXazr5_q_MlqIWvDQiQ1us1q4fLzK9qJ/view?usp=sharing,
1519,"City of Wooster, OH",https://drive.google.com/file/d/1_yn5BI9_cLpVxuDXrcRgMn6ob32pj4cT/view?usp=sharing,
1518,"Town of Northlake, TX",https://drive.google.com/file/d/1aP3C--RqZgU91wZ01AVJgohn2iKH5sOb/view?usp=sharing,
1507,"City of Milpitas, CA",https://drive.google.com/file/d/1miiB7AIIwaoTPSzfHf_8l2T7XawuHCEP/view?usp=sharing,
1461,City of Pompano Beach,https://drive.google.com/file/d/1dFXkxAQQI6m5VQvDen5kmHqTyIw0304Q/view?usp=sharing,
1542,"City of Camden, NJ",https://drive.google.com/file/d/1dhRbehKanxVWFeQglBYYHL3z2lXFnc1G/view?usp=sharing,
1501,"Victoria Dept. of Environment, Land, Water & Planning, AUS",https://drive.google.com/file/d/1ri8NPX_P7LemGPriUfaOEloJ9oVSRWci/view?usp=sharing,
1432,"Town of Croydon, UK",Couldn't find,
1357,"Pierce County, WA",https://drive.google.com/file/d/1x1NUVCEY_1WBr15uCeaToBoNa7ZVLLSt/view?usp=sharing,
1240,"Riverside County, CA",https://drive.google.com/file/d/13DQQLQwW6SbrVLb5erofDT0UYCaEnPEZ/view?usp=sharing,
1220,"City of London, Ontario, CAN",https://drive.google.com/file/d/1kpbc1NvnsyhI2C5entGrz0O_KcRLxdpr/view?usp=sharing,
