id,city
,Local Gov Name
1565,"City of St. Paul, MN"
781,"City of Hurst, TX"
1435,"City of Duluth, MN"
1314,"City of Fort Saskatchewan, CAN"
1570,"City of Hemet, CA"
1466,"Town of Gilbert, AZ"
1408,"City of Billings Police Department, MT"
1352,"City of Middleton, WI"
1316,"Town of Ashland, MA"
1238,"City of Bloomington, MN"
1545,"City of Shoreview, MN"
1578,"Montgomery County, PA"
1519,"City of Wooster, OH"
1518,"Town of Northlake, TX"
1507,"City of Milpitas, CA"
1461,City of Pompano Beach
1542,"City of Camden, NJ"
1501,"Victoria Dept. of Environment, Land, Water & Planning, AUS"
1432,"Town of Croydon, UK"
1357,"Pierce County, WA"
1240,"Riverside County, CA"
1220,"City of London, Ontario, CAN"
1182,"City of Edmonton, Alberta, CAN"
991,"Capitol Region Watershed District, MN"
867,"City of Tacoma, WA"
1299,State of Delaware
1407,City of San Bernardino Police Department
1360,"City of Baldwin, GA"
1459,"Volusia County, FL"
1254,City of Palm Bay Fire Department
1394,"City of Detroit, MI"
1297,"New Bedford, MA"
1289,"Chapel Hill, NC"
859,"Accomack County, VA"
1676,"Adams County, CO"
407,"Alameda County Water District, CA"
288,"Alameda County, CA"
1641,Alexandria Louisiana
951,"Allegan County, MI"
338,"Allegheny County Department of Human Services, PA"
1677,American Water
1568,Antis Township
408,"Apache Junction Water District, AZ"
1453,Arapahoe County Colorado
953,"Association of Environmental Authorities, NJ"
801,Athens-Clarke County
954,Athens-Clarke County Unified Government
268,"Atlantic County Utilities Authority, NJ"
955,"Augusta-Richmond County, GA"
110,"Aurora Water, Colorado"
1678,Austin Water
1608,Barnes County
956,"Barry County, MI"
957,"Barton County, KS"
411,Barton Springs Edwards Aquifer Conservation District
412,Bay Area Water Supply and Conservation Agency
958,"Beaufort County, SC"
19,TestAffiliation
413,Beaumont - Cherry Valley Water District
1843,"Bedford, NH"
1679,Bellyache Ridge Metro District
959,Bergen County Utilities Authority
843,Bexar County Hospital District
1680,"Boca Raton, FL"
815,"Bolingbrook Park District, IL"
1909,Borough of Bound Brook
962,"Borough of Butler, NJ"
963,"Borough of Far Hills, NJ"
1681,Borough of Indiana
32,PNWER
964,"Borough of Paramus, NJ"
1682,Borough of Phoenixville
35,City of Gloucester
965,"Borough of Somerville, NJ"
373,Boston Planning and Development Agency
1683,Boxelder Stormwater Authority
41,city of newport news
966,"Bradford County, PA"
967,"Brick Township Municipal Utilities Authority, NJ"
44,Lafayette Consolidated Government
768,"Bridgeport Landing, CT"
43,"Broward County, FL"
968,"Brown County, KS"
969,Buffalo Grove Park District
51,"Bureau of Engineering, Environmental Engineering Division"
52,SCAG
903,Buffalo Sewer Authority
55,Câmara Municipal de Faro
1523,"Buncombe County, NC"
1638,Bureau of Land Mgt
970,Burlington County Board of Social Services
971,Burlington County Bridge Commission
972,"Burlington Township, NJ"
973,"Butler County, KS"
334,"Cabarrus County, NC"
68,Economic development director for Washington County Ohio
1929,CAL Fire
1454,"Calcasieu Parish, LA"
1885,California Governor's Office of Business and Economic Development
1391,"City of Geelong, Australia"
1711,City of Hopkins
915,"City of Memphis, TN"
919,"City of Mill Valley, CA"
1532,"City of Paso Robles, CA"
1927,"City of Mansfield, TX"
1120,"Clay County, FL"
1247,"City of Hamburg, Germany"
1531,"City of Topeka, KS"
912,"City of Grand Rapids, MI"
1190,"City of Stockbridge, GA"
901,"City of Edmonton, AB CAN"
1191,"City of South Fulton, GA"
,CAL Fire
308,"City of Olathe, KS"
1761,"Laguna Beach, CA"
1926,"City of Vancouver, WA"
922,"City of Tacoma, WA"
356,"City of Montgomery, Ohio"
1639,Montgomery County
1226,"Milwaukee County, WI"
1623,"Harris County, TX"
910,"City of Eugene, OR"
549,"City of Salt Lake City, UT"
1065,"City of Middletown, CT"
974,Camden County Board of Commissioners
1099,"City of St. George, UT"
75,"City of Chicago, IL"
,City of Sherman
774,"City of Mount Vernon, NY"
,Town of Glendale Heights
,City of Fountain Hills
1261,Washington DC
,Town of Edinburgh
1390,"Village of West Dundee, IL"
1055,"City of Marietta, GA"
543,"City of Pueblo, CO"
72,Camden County MUA
818,"Hagerstown, MD"
975,"Camden County, GA"
1420,"Camden County, NJ"
,City of Puyallup
947,Cape Cod Regional Transit Authority
976,"Cape May County MUA, NJ"
904,"Capital Region Water, PA"
977,"Carson City, NV"
760,"Carver County, MN"
1685,Central Arkansas Water
416,"Central Basin Municipal Water District, CA"
417,Central Utah Water Conservancy District
978,"Champaign County, IL"
94,"Local Government, Municipality of Anchorage"
979,"Charleston County, SC"
980,"Charlotte County, FL"
981,"Charter Township of Canton, MI"
982,"Charter Township of Ypsilanti, MI"
1658,"Chatham Borough, NJ"
101,Local Gov Name
983,"Chatham County, GA"
1636,Chaves County
984,Cherokee County Water & Sewerage Authority
1659,Chesilhurst Borough
1686,Chester County Water Resources Authority
